hershey,unicode0,unicode1
1,65,
2,66,
3,67,
4,68,
5,69,
6,70,
7,71,
8,72,
9,73,
10,74,
11,75,
12,76,
13,77,
14,78,
15,79,
16,80,
17,81,
18,82,
19,83,
20,84,
21,85,
22,86,
23,87,
24,88,
25,89,
26,90,
27,913,
28,914,
29,915,
30,916,
31,917,
32,918,
33,919,
34,920,
35,921,
36,922,
37,923,
38,924,
39,925,
40,926,
41,927,
42,928,
43,929,
44,931,
45,932,
46,933,
47,934,
48,935,
49,936,
50,937,
197,8203,
198,8194,
199,8195,32
200,48,
201,49,
202,50,
203,51,
204,52,
205,53,
206,54,
207,55,
208,56,
209,57,
210,46,
211,44,
212,58,
213,59,
214,33,
215,63,
216,8242,39
217,8243,34
218,176,
219,36,
220,47,
221,40,
222,41,
223,124,
224,45,
225,43,
226,61,
227,215,
228,42,
229,183,
230,8216,
231,8217,
232,8594,
233,35,
234,38,
235,8977,
501,65,
502,66,
503,67,
504,68,
505,69,
506,70,
507,71,
508,72,
509,73,
510,74,
511,75,
512,76,
513,77,
514,78,
515,79,
516,80,
517,81,
518,82,
519,83,
520,84,
521,85,
522,86,
523,87,
524,88,
525,89,
526,90,
527,913,
528,914,
529,915,
530,916,
531,917,
532,918,
533,919,
534,920,
535,921,
536,922,
537,923,
538,924,
539,925,
540,926,
541,927,
542,928,
543,929,
544,931,
545,932,
546,933,
547,934,
548,935,
549,936,
550,937,
551,65,
552,66,
553,67,
554,68,
555,69,
556,70,
557,71,
558,72,
559,73,
560,74,
561,75,
562,76,
563,77,
564,78,
565,79,
566,80,
567,81,
568,82,
569,83,
570,84,
571,85,
572,86,
573,87,
574,88,
575,89,
576,90,
583,8711,
601,97,
602,98,
603,99,
604,100,
605,101,
606,102,
607,103,
608,104,
609,105,
610,106,
611,107,
612,108,
613,109,
614,110,
615,111,
616,112,
617,113,
618,114,
619,115,
620,116,
621,117,
622,118,
623,119,
624,120,
625,121,
626,122,
627,945,
628,946,
629,947,
630,948,
631,949,
632,950,
633,951,
634,977,
635,953,
636,954,
637,955,
638,956,
639,957,
640,958,
641,959,
642,960,
643,961,
644,963,
645,964,
646,965,
647,981,
648,967,
649,968,
650,969,
651,97,
652,98,
653,99,
654,100,
655,101,
656,102,
657,103,
658,104,
659,105,
660,106,
661,107,
662,108,
663,109,
664,110,
665,111,
666,112,
667,113,
668,114,
669,115,
670,116,
671,117,
672,118,
673,119,
674,120,
675,121,
676,122,
677,108,
683,8706,
684,1013,
685,952,
686,966,
687,962,
697,8203,
698,8194,
699,8195,32
700,48,
701,49,
702,50,
703,51,
704,52,
705,53,
706,54,
707,55,
708,56,
709,57,
710,46,
711,44,
712,58,
713,59,
714,33,
715,63,
716,8242,39
717,8243,34
718,176,
719,36,
720,47,
721,40,
722,41,
723,124,
724,45,
725,43,
726,61,
727,215,
728,42,
729,183,
730,8216,
731,8217,
732,8594,
733,35,
734,38,
735,8977,
737,8741,
738,10178,
739,8736,
740,8756,
741,9828,
742,9825,
743,9826,
744,9831,
745,9752,
746,9884,
750,,
751,127783,
752,127784,
753,,
754,,
755,,
756,,
757,,
758,,
759,,
760,,
761,,
762,,
763,,
764,,
765,,
766,,
767,9736,
768,127744,
796,9472,
797,9585,
798,9474,
799,9586,
800,9472,
801,,
802,,
803,9474,
804,,
805,,
806,9472,
807,9585,
808,9474,
809,9586,
810,9692,
811,9695,
812,9694,
813,9693,
814,,
815,,
816,,
817,,
818,,
819,,
820,,
821,,
822,,
823,,
824,10160,
825,,
826,,
827,,
828,,
829,,
830,,
831,,
832,,
833,,
834,,
840,9675,
841,9633,
842,9651,
843,9674,
844,9734,
845,,
846,10060,
847,42,
850,9679,
851,9632,
852,9650,
853,9664,
854,9660,
855,9654,
856,9733,
857,9873,
860,9875,
861,,
862,,
863,,
864,,
865,,
866,10013,10010
867,9770,127769
868,10017,
869,128276,
870,127796,
871,127794,
872,127795,
873,,
874,,
899,,
900,,
901,,
902,,
903,,
904,,
905,,
906,,
907,,
908,,
909,,
997,45,
998,45,
999,45,
1001,65,
1002,66,
1003,67,
1004,68,
1005,69,
1006,70,
1007,71,
1008,72,
1009,73,
1010,74,
1011,75,
1012,76,
1013,77,
1014,78,
1015,79,
1016,80,
1017,81,
1018,82,
1019,83,
1020,84,
1021,85,
1022,86,
1023,87,
1024,88,
1025,89,
1026,90,
1027,913,
1028,914,
1029,915,
1030,916,
1031,917,
1032,918,
1033,919,
1034,920,
1035,921,
1036,922,
1037,923,
1038,924,
1039,925,
1040,926,
1041,927,
1042,928,
1043,929,
1044,931,
1045,932,
1046,933,
1047,934,
1048,935,
1049,936,
1050,937,
1051,65,119860
1052,66,119861
1053,67,119862
1054,68,119863
1055,69,119864
1056,70,119865
1057,71,119866
1058,72,119867
1059,73,119868
1060,74,119869
1061,75,119870
1062,76,119871
1063,77,119872
1064,78,119873
1065,79,119874
1066,80,119875
1067,81,119876
1068,82,119877
1069,83,119878
1070,84,119879
1071,85,119880
1072,86,119881
1073,87,119882
1074,88,119883
1075,89,119884
1076,90,119885
1101,97,
1102,98,
1103,99,
1104,100,
1105,101,
1106,102,
1107,103,
1108,104,
1109,105,
1110,106,
1111,107,
1112,108,
1113,109,
1114,110,
1115,111,
1116,112,
1117,113,
1118,114,
1119,115,
1120,116,
1121,117,
1122,118,
