hershey,unicode0,unicode1
1,19968,
7,19975,
8,19977,
9,19979,
15,20116,
16,22825,
17,19981,
24,21487,
26,24179,
27,27491,
33,30334,
34,20001,
35,20877,
43,20124,
49,20989,
50,30011,
53,26172,
54,27498,
58,22799,
62,24746,
81,20013,
82,20869,
92,30002,
96,26412,
97,20986,
101,21521,
103,26354,
107,26524,
108,34920,
130,27704,
131,27703,
132,21322,
138,28858,
139,21336,
146,20061,
154,21450,
156,21315,
162,21320,
166,23569,
173,24343,
179,26410,
188,24180,
195,31995,
196,26463,
199,21365,
202,26469,
211,22402,
213,26481,
223,20055,
224,37325,
230,23798,
260,20057,
261,19971,
272,20107,
273,20108,
275,20803,
283,20845,
284,24066,
285,20027,
290,20132,
295,20140,
298,22812,
306,22793,
319,29575,
321,21830,
339,20154,
350,21270,
352,20170,
361,20182,
362,20181,
364,20195,
383,21512,
384,20840,
401,20301,
403,20280,
405,20307,
406,20302,
407,20316,
408,20313,
409,20309,
422,20385,
428,20363,
431,20379,
449,20418,
488,20516,
509,20596,
511,20559,
534,20670,
540,20687,
551,20740,
571,20808,
574,20837,
577,20843,
578,20998,
579,20844,
581,20849,
588,20856,
589,20006,
590,20854,
595,21069,
617,20870,
619,21516,
622,21608,
638,27425,
642,20919,
665,20992,
667,20999,
703,21106,
715,21147,
716,21152,
730,21205,
751,21271,
768,21313,
770,21476,
775,30452,
778,21335,
783,30495,
790,24185,
791,28310,
798,19978,
804,28857,
817,21453,
818,22311,
825,21407,
855,21448,
859,21452,
868,21475,
878,21491,
882,21495,
885,21560,
913,21619,
923,21697,
931,21746,
973,21957,
994,22120,
1025,22235,
1026,22240,
1028,22238,
1034,22259,
1036,22266,
1037,22269,
1045,22287,
1050,22303,
1051,21435,
1055,22312,
1056,22320,
1065,22343,
1077,22411,
1098,22522,
1109,22612,
1113,22580,
1125,22633,
1135,22659,
1137,22679,
1160,22763,
1161,20908,
1162,20966,
1163,21508,
1167,22805,
1168,22806,
1169,22810,
1170,21517,
1171,22823,
1172,22826,
1185,22899,
1189,22914,
1208,22987,
1264,23376,
1267,23384,
1271,23398,
1280,23431,
1281,23383,
1291,23449,
1296,23450,
1297,23455,
1300,23460,
1311,23478,
1316,23494,
1322,23506,
1354,23566,
1355,23567,
1358,20809,
1359,24403,
1364,24120,
1377,23610,
1383,23614,
1386,23624,
1387,23621,
1402,23652,
1407,23665,
1418,28845,
1431,23888,
1447,24029,
1451,24037,
1455,24038,
1459,38917,
1466,24059,
1468,24067,
1469,24070,
1484,24133,
1492,24178,
1496,24190,
1504,24540,
1508,24213,
1511,24230,
1514,24237,
1515,24231,
1556,24335,
1560,24339,
1562,24341,
1567,24359,
1568,24358,
1571,24375,
1575,24382,
1582,24112,
1589,24418,
1598,24441,
1602,24452,
1604,24444,
1610,24460,
1613,24467,
1614,24466,
1621,34899,
1628,24481,
1631,24494,
1638,34909,
1641,34913,
1645,24515,
1666,24615,
1683,24658,
1710,24785,
1728,24819,
1731,24863,
1743,24907,
1756,24931,
1794,25096,
1799,25104,
1802,25110,
1817,25144,
1823,25159,
1827,25163,
1855,25240,
1885,25276,
1903,25345,
1904,25351,
1914,25402,
1920,25391,
1942,25449,
1951,25509,
1987,25688,
2039,25903,
2044,25925,
2052,25945,
2056,25955,
2057,25968,
2064,25991,
2067,23550,
2074,26012,
2080,26032,
2082,26041,
2083,26044,
2084,25918,
2097,26085,
2100,26089,
2107,26131,
2108,26132,
2110,26126,
2119,26152,
2121,26143,
2122,26149,
2126,26178,
2137,26230,
2138,26257,
2141,37327,
2143,26228,
2146,26368,
2154,26263,
2160,26311,
2164,38988,
2169,26376,
2170,26408,
2194,26512,
2210,26519,
2211,26525,
2212,26494,
2233,26611,
2236,26609,
2241,30456,
2254,26680,
2256,26716,
2261,26681,
2264,26800,
2301,26862,
2303,26893,
2305,26997,
2313,26965,
2324,27005,
2343,27083,
2359,27161,
2361,27178,
2378,27211,
2379,27231,
2412,27424,
2429,27490,
2430,27492,
2435,38604,
2436,25972,
2438,21015,
2439,27515,
2466,27597,
2467,27598,
2470,27604,
2473,27611,
2478,27663,
2480,27671,
2482,27700,
2503,27810,
2507,27773,
2509,27770,
2529,27874,
2530,27827,
2534,27833,
2535,27861,
2553,28023,
2565,28044,
2573,37202,
2576,27969,
2599,28082,
2629,28198,
2631,28287,
2632,28204,
2634,28201,
2637,28187,
2655,28381,
2656,28304,
2659,28342,
2702,28526,
2743,28779,
2745,28783,
2750,28809,
2770,28982,
2772,28988,
2773,28961,
2797,29105,
2807,29136,
2808,29123,
2829,24859,
2832,29238,
2839,29366,
2842,29255,
2848,29273,
2852,29275,
2857,29289,
2860,29305,
2868,29356,
2922,29579,
2923,29577,
2937,29674,
2941,29699,
2942,29702,
2943,29694,
2973,29916,
2977,29926,
2988,29976,
2991,29983,
2993,29992,
2994,30000,
2996,30007,
2998,30028,
3001,24605,
3008,30064,
3042,30149,
3092,30330,
3095,30333,
3097,30340,
3109,30382,
3113,30399,
3127,30446,
3128,20855,
3164,30683,
3168,30690,
3169,30693,
3172,30701,
3176,30707,
3180,30740,
3191,30827,
3192,30813,
3200,30844,
3209,30913,
3228,31034,
3264,21033,
3265,31169,
3268,21644,
3271,31186,
3272,31185,
3273,31179,
3275,31204,
3280,31216,
3285,31243,
3294,31282,
3295,31278,
3306,31309,
3313,31348,
3314,31350,
3317,31354,
3325,31378,
3343,31435,
3366,31481,
3385,31532,
3396,31561,
3397,31558,
3415,31639,
3416,31649,
3458,31840,
3461,31859,
3468,26009,
3471,31890,
3472,31896,
3492,31992,
3496,32026,
3509,32020,
3510,32025,
3511,32032,
3520,32068,
3521,32066,
3522,32048,
3523,32076,
3537,32117,
3539,32118,
3540,32080,
3543,32121,
3544,32154,
3567,32207,
3579,32239,
